t,Unnamed: 0,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,geometry,TIMEDELTA,speed,prev_pt,direction,turning_angle,state
2020-06-22 13:32:00,46702,2020-21,A69-9006-7849,6/22/2020 13:32,3925.81,6409.58,2.88,34.411795,-119.560892,7,3.0,,,2.8803,,In_A In_B In_C Off_A Off_B OS1,In_A In_B In_C Off_A Off_B OS1,POINT (-119.560892 34.411795),0 days 00:01:00,1.0704696616597886,POINT (-119.561238 34.412298),150.42536527966047,7.460511360753579,1
2020-06-22 13:33:00,47669,2020-21,A69-9006-7849,6/22/2020 13:33,3953.11,6342.61,3.184,34.411192,-119.560595,12,2.9,,,3.1835,,In_A In_B In_C Off_A Off_B Off_D,In_A In_B In_C Off_A Off_B Off_D,POINT (-119.560595 34.411192),0 days 00:01:00,1.2041528349101973,POINT (-119.560892 34.411795),157.88587664041404,61.11059724398606,1
2020-06-22 13:34:00,46216,2020-21,A69-9006-7849,6/22/2020 13:34,3923.94,6306.86,2.729,34.410869,-119.560912,6,2.7,,,2.7287,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.560912 34.410869),0 days 00:01:00,0.7697754826318981,POINT (-119.560595 34.411192),218.9964738844001,78.9642467577804,1
2020-06-22 13:36:00,48141,2020-21,A69-9006-7849,6/22/2020 13:36,3817.36,6363.16,3.335,34.411377,-119.562072,8,2.8,,,3.3351,,In_A In_B Off_A Off_B Off_C OS1,In_A In_B Off_A Off_B Off_C,POINT (-119.562072 34.411377),0 days 00:02:00,1.0051684699184973,POINT (-119.560912 34.410869),297.9607206421805,25.395685987037727,1
2020-06-22 13:37:00,48142,2020-21,A69-9006-7849,6/22/2020 13:37,3766.73,6430.88,3.335,34.411987,-119.562622,10,2.8,,,3.3351,,In_A In_B Off_A Off_B Off_C OS1,In_A In_B Off_A Off_B Off_C OS1,POINT (-119.562622 34.411987),0 days 00:01:00,1.4078835440956645,POINT (-119.562072 34.411377),323.3564066292182,-2.7531592134455534,1
2020-06-22 13:38:00,47187,2020-21,A69-9006-7849,6/22/2020 13:38,3705.04,6505.58,3.032,34.412661,-119.563293,4,3.4,,,3.0319,,In_A Off_A Off_B Off_C OS1,In_A Off_A Off_B Off_C OS1,POINT (-119.563293 34.412661),0 days 00:01:00,1.6155154169839672,POINT (-119.562622 34.411987),320.60324741577267,-3.309071290758766,1
2020-06-22 13:39:00,44452,2020-21,A69-9006-7849,6/22/2020 13:39,3661.79,6552.32,2.274,34.413082,-119.563764,3,3.8,,,2.2739,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.563764 34.413082),0 days 00:01:00,1.0614527246260763,POINT (-119.563293 34.412661),317.2941761250139,-7.670680804457846,1
2020-06-22 13:40:00,42603,2020-21,A69-9006-7849,6/22/2020 13:40,3607.59,6596.99,1.819,34.413485,-119.564354,1,4.5,,,1.8191,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.564354 34.413485),0 days 00:01:00,1.1714981458199358,POINT (-119.563764 34.413082),309.62349532055606,-13.207185913146875,1
2020-06-22 13:41:00,37280,2020-21,A69-9006-7849,6/22/2020 13:41,3543.85,6628.55,0.758,34.413769,-119.565047,4,8.4,,,0.7579,,In_A Off_A Off_B Off_C OS1,In_A Off_A Off_B Off_C OS1,POINT (-119.565047 34.413769),0 days 00:01:00,1.1845718316330027,POINT (-119.564354 34.413485),296.4163094074092,-102.36649557020567,1
2020-06-22 13:43:00,45075,2020-21,A69-9006-7849,6/22/2020 13:43,3513.79,6509.03,2.426,34.412691,-119.565374,7,3.0,,,2.4255,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.565374 34.412691),0 days 00:02:00,1.027528049632036,POINT (-119.565047 34.413769),194.0498138372035,-16.222852418348573,1
