,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
95,2020-21,A69-9006-7849,5/21/2020 22:40,3600.71,6299.02,-0.607,34.410798,-119.564428,4,2.7,,,-0.6065,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1
96,2020-21,A69-9006-7849,5/21/2020 22:41,3651.97,6296.81,-0.607,34.410778,-119.56387,1,3.0,,,-0.6065,,In_A Off_A OS1,In_A Off_A OS1
97,2020-20,A69-9006-7853,5/21/2020 22:42,4598.62,5778.99,-0.607,34.406111,-119.553574,12,2.5,,,-0.6065,,In_B In_C In_D Off_C Off_D OS2,In_B In_C In_D Off_C Off_D OS2
98,2020-21,A69-9006-7849,5/21/2020 22:42,3681.41,6326.32,-0.607,34.411045,-119.56355,6,2.6,,,-0.6065,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1
99,2020-20,A69-9006-7853,5/21/2020 22:43,4621.71,5756.05,-0.607,34.405905,-119.553322,2,3.0,,,-0.6065,,In_C In_D Off_D OS2,In_C In_D Off_D OS2
100,2020-20,A69-9006-7853,5/21/2020 22:44,4640.25,5777.03,-0.607,34.406094,-119.553121,1,3.5,,,-0.6065,,In_C Off_C OS2,In_C Off_C OS2
101,2020-21,A69-9006-7849,5/21/2020 22:44,3785.0,6327.62,-0.607,34.411056,-119.562423,3,3.0,,,-0.6065,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1
102,2020-20,A69-9006-7853,5/21/2020 22:44,4670.0,5790.28,-0.607,34.406213,-119.552797,2,3.3,,,-0.6065,,In_C In_D Off_D OS2,In_C In_D Off_D OS2
103,2020-20,A69-9006-7853,5/21/2020 22:45,4672.76,5770.67,-0.607,34.406036,-119.552767,4,3.1,,,-0.6065,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
104,2020-20,A69-9006-7853,5/21/2020 22:47,4685.73,5793.73,-0.607,34.406244,-119.552626,7,2.9,,,-0.6065,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
105,2020-20,A69-9006-7853,5/21/2020 22:48,4683.63,5790.58,-0.607,34.406216,-119.552649,2,3.4,,,-0.6065,,In_C In_D Off_C OS2,In_C In_D Off_C OS2
106,2020-20,A69-9006-7853,5/21/2020 22:49,4697.62,5817.53,-0.607,34.406459,-119.552497,4,3.6,,,-0.6065,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
107,2020-21,A69-9006-7849,5/21/2020 22:49,4007.47,6219.6,-0.607,34.410083,-119.560004,4,2.7,,,-0.6065,,In_B Off_B Off_C OS1,In_B Off_B Off_C OS1
108,2020-20,A69-9006-7853,5/21/2020 22:49,4683.7,5806.46,-0.607,34.406359,-119.552648,4,3.4,,,-0.6065,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
109,2020-21,A69-9006-7849,5/21/2020 22:50,4065.41,6187.28,-0.607,34.409792,-119.559373,4,2.7,,,-0.6065,,In_B Off_B Off_C OS1,In_B Off_B Off_C OS1
110,2020-19,A69-9006-7851,5/21/2020 22:51,4643.36,5811.77,-0.607,34.406407,-119.553087,4,3.2,,,-0.6065,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
111,2020-20,A69-9006-7853,5/21/2020 22:51,4706.1,5808.31,-0.607,34.406376,-119.552405,7,3.1,,,-0.6065,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
